probe,mitigation,condition,setting,macro_auroc,f1,cosine_drift,l2_drift,model
clean_probe,none,contrast=0.50,clean_probe,0.8911137348190543,0.2952272926888702,0.1162513941526413,18.753936767578125,I-JEPA-H/201
clean_probe,none,contrast=1.50,clean_probe,0.876871120808865,0.373825295347081,0.0916416198015213,15.718836784362791,I-JEPA-H/201
clean_probe,gaussian_smooth,noise_sigma=0.05,clean_probe,0.783845589808465,0.2481193330337762,0.3506955206394195,31.754409790039062,I-JEPA-H/201
clean_probe,gaussian_smooth,noise_sigma=0.10,clean_probe,0.5719045583724086,0.1369004434936983,0.9196788668632508,55.95170211791992,I-JEPA-H/201
clean_probe,median_filter,noise_sigma=0.05,clean_probe,0.8107338214509332,0.2807194850996959,0.4070428907871246,34.56723403930664,I-JEPA-H/201
clean_probe,median_filter,noise_sigma=0.10,clean_probe,0.63332939255644,0.1564369540533258,0.906831443309784,58.88295364379883,I-JEPA-H/201
robust_probe,train_aug,clean,robust_probe,0.9162228448972491,0.387185382026469,-7.232030085901897e-09,0.0,I-JEPA-H/201
robust_probe,train_aug,noise_sigma=0.05,robust_probe,0.8048054612341967,0.1287630312741115,0.8742052316665649,71.38390350341797,I-JEPA-H/201
robust_probe,train_aug,noise_sigma=0.10,robust_probe,0.6614215839732479,0.0680817397029402,0.9632089138031006,83.7961654663086,I-JEPA-H/201
robust_probe,train_aug,brightness=-0.20,robust_probe,0.9115088087940376,0.4089696064795227,0.0403559431433677,10.841835975646973,I-JEPA-H/201
robust_probe,train_aug,brightness=+0.20,robust_probe,0.8921696652214278,0.3307020963101513,0.1236830651760101,17.856657028198242,I-JEPA-H/201
robust_probe,train_aug,contrast=0.50,robust_probe,0.9073719902058708,0.3185617363356307,0.1162513941526413,18.753936767578125,I-JEPA-H/201
robust_probe,train_aug,contrast=1.50,robust_probe,0.9076178410978036,0.3955989336669863,0.0916416198015213,15.718836784362791,I-JEPA-H/201
clean_probe,none,clean,clean_probe,0.8951166516067175,0.2455914267507642,3.278255444882916e-09,0.0,MAE-H/97
clean_probe,none,noise_sigma=0.05,clean_probe,0.7887051756462587,0.1679163256334305,0.1418448686599731,10.99341106414795,MAE-H/97
clean_probe,none,noise_sigma=0.10,clean_probe,0.6485702052079371,0.08321264920569,0.3184785842895508,18.036548614501957,MAE-H/97
clean_probe,none,brightness=-0.20,clean_probe,0.887750421645936,0.3150479308835338,0.0115775512531399,2.998075485229492,MAE-H/97
clean_probe,none,brightness=+0.20,clean_probe,0.811264816351382,0.2083414948003183,0.0186680108308792,3.729177951812744,MAE-H/97
clean_probe,none,contrast=0.50,clean_probe,0.8810476112711296,0.2324899462390256,0.035479586571455,6.346927165985107,MAE-H/97
clean_probe,none,contrast=1.50,clean_probe,0.8504985706915622,0.2520275216617607,0.0133299930021166,3.364704132080078,MAE-H/97
clean_probe,gaussian_smooth,noise_sigma=0.05,clean_probe,0.8250754070887246,0.2182237439919023,0.0422668978571891,5.617286682128906,MAE-H/97
clean_probe,gaussian_smooth,noise_sigma=0.10,clean_probe,0.7592120084569554,0.1774697131209531,0.0835151448845863,8.0460205078125,MAE-H/97
clean_probe,median_filter,noise_sigma=0.05,clean_probe,0.8332345368417614,0.1931271254216615,0.0476011335849761,6.204612731933594,MAE-H/97
clean_probe,median_filter,noise_sigma=0.10,clean_probe,0.7693700925407607,0.1313157344005809,0.1301053911447525,10.50316333770752,MAE-H/97
robust_probe,train_aug,clean,robust_probe,0.8966075277390858,0.254359977413757,3.278255444882916e-09,0.0,MAE-H/97
robust_probe,train_aug,noise_sigma=0.05,robust_probe,0.8442801016500676,0.1700549175800456,0.1419120132923126,10.99763011932373,MAE-H/97
robust_probe,train_aug,noise_sigma=0.10,robust_probe,0.6692299393545688,0.066509961889176,0.3185077905654907,18.03762435913086,MAE-H/97
robust_probe,train_aug,brightness=-0.20,robust_probe,0.8912876318909632,0.2974741593804699,0.0115775503218173,2.998075485229492,MAE-H/97
robust_probe,train_aug,brightness=+0.20,robust_probe,0.8617486619549074,0.2216538171696168,0.0186680108308792,3.729177951812744,MAE-H/97
robust_probe,train_aug,contrast=0.50,robust_probe,0.8923086020375433,0.2349520618601426,0.0354795902967453,6.346927165985107,MAE-H/97
robust_probe,train_aug,contrast=1.50,robust_probe,0.8843444867336581,0.2451370725332662,0.0133299939334392,3.364704132080078,MAE-H/97
