model,condition,perturbation,x_value,macro_auroc,f1,auroc_drop,f1_drop,cosine_drift,l2_drift
I-JEPA-H/95,clean,gaussian_blur,0.0,0.9104941092150008,0.3484009401511477,0.0,0.0,0.0,0.0
I-JEPA-H/95,gaussian_blur/sigma=0.5,gaussian_blur,0.5,0.8955455601840484,0.3059696489147157,0.0149485490309523,0.042431291236432,0.0220573227852582,8.929893493652344
I-JEPA-H/95,gaussian_blur/sigma=1.0,gaussian_blur,1.0,0.8485950102708902,0.2007307798347661,0.0618990989441105,0.1476701603163816,0.1093336790800094,20.084125518798828
I-JEPA-H/95,gaussian_blur/sigma=2.0,gaussian_blur,2.0,0.7968638161185007,0.1781455188833582,0.1136302930965,0.1702554212677895,0.241599753499031,30.20992660522461
I-JEPA-H/95,gaussian_blur/sigma=3.0,gaussian_blur,3.0,0.7355993025439139,0.1273919277705049,0.1748948066710868,0.2210090123806428,0.4029141068458557,38.8364486694336
I-JEPA-H/95,clean,gaussian_noise,0.0,0.9104941092150008,0.3484009401511477,0.0,0.0,0.0,0.0
I-JEPA-H/95,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.7616439741313141,0.114372803829166,0.1488501350836866,0.2340281363219817,0.8889057040214539,90.525634765625
I-JEPA-H/95,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6306172835545301,0.0944717603050512,0.2798768256604707,0.2539291798460965,0.9753112196922302,102.30699920654295
I-JEPA-H/95,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.5408042996555265,0.0867565300105896,0.3696898095594743,0.261644410140558,0.976548194885254,101.7216567993164
I-JEPA-H/95,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.5421923165794471,0.0820228021999388,0.3683017926355536,0.2663781379512089,0.9744431972503662,100.638916015625
MAE-H/300,brightness/delta=-0.2,brightness,-0.2,0.8755825950782712,0.2914982587659568,0.015317408083091,-0.0661009847487775,0.0275854133069515,3.5837793350219727
MAE-H/300,brightness/delta=-0.1,brightness,-0.1,0.8876146134607699,0.2672358414808622,0.0032853897005923,-0.0418385674636828,0.0066495425999164,1.749392867088318
MAE-H/300,clean,brightness,0.0,0.8909000031613622,0.2253972740171793,0.0,0.0,0.0,0.0
MAE-H/300,brightness/delta=+0.1,brightness,0.1,0.8804425701877834,0.1976479008164801,0.0104574329735788,0.0277493732006991,0.0047859037294983,1.5189869403839111
MAE-H/300,brightness/delta=+0.2,brightness,0.2,0.8119245618597879,0.1907604926666291,0.0789754413015743,0.0346367813505501,0.0220361892133951,3.3502004146575928
MAE-H/300,contrast/factor=0.25,contrast,0.25,0.6987351230181391,0.1148963414657865,0.192164880143223,0.1105009325513927,0.1411333978176117,10.570834159851074
MAE-H/300,contrast/factor=0.5,contrast,0.5,0.8075953895357145,0.2104739335658781,0.0833046136256476,0.0149233404513011,0.0452494509518146,5.461799621582031
MAE-H/300,clean,contrast,1.0,0.8909000031613622,0.2253972740171793,0.0,0.0,0.0,0.0
MAE-H/300,contrast/factor=1.5,contrast,1.5,0.8242418480681722,0.2219032234594137,0.0666581550931899,0.0034940505577655,0.0213025286793708,3.262817621231079
MAE-H/300,contrast/factor=2.0,contrast,2.0,0.78358413622981,0.2451678456395137,0.1073158669315521,-0.0197705716223344,0.0505779013037681,4.959151744842529
MAE-H/300,clean,gaussian_blur,0.0,0.8909000031613622,0.2253972740171793,0.0,0.0,0.0,0.0
MAE-H/300,gaussian_blur/sigma=0.5,gaussian_blur,0.5,0.8819918387760791,0.1932001515265353,0.008908164385283,0.0321971224906439,0.0143000772222876,2.6501715183258057
MAE-H/300,gaussian_blur/sigma=1.0,gaussian_blur,1.0,0.8428139640504209,0.1967162832791439,0.0480860391109413,0.0286809907380353,0.0825797170400619,6.542527198791504
MAE-H/300,gaussian_blur/sigma=2.0,gaussian_blur,2.0,0.778457275598752,0.2016992658278012,0.1124427275626102,0.0236980081893781,0.1520673483610153,9.30966567993164
MAE-H/300,gaussian_blur/sigma=3.0,gaussian_blur,3.0,0.7267427274572218,0.1235935069115079,0.1641572757041404,0.1018037671056713,0.1862777471542358,10.894288063049316
MAE-H/300,clean,gaussian_noise,0.0,0.8909000031613622,0.2253972740171793,0.0,0.0,0.0,0.0
MAE-H/300,gaussian_noise/sigma=0.05,gaussian_noise,0.05,0.7764509657891451,0.1559055392172421,0.1144490373722171,0.0694917347999371,0.1687051951885223,9.794351577758787
MAE-H/300,gaussian_noise/sigma=0.10,gaussian_noise,0.1,0.6181771013577161,0.1171389230311985,0.2727229018036461,0.1082583509859807,0.3190191388130188,15.140008926391602
MAE-H/300,gaussian_noise/sigma=0.20,gaussian_noise,0.2,0.4901620661576772,0.0950537940266149,0.400737937003685,0.1303434799905644,0.3388282060623169,15.334693908691406
MAE-H/300,gaussian_noise/sigma=0.30,gaussian_noise,0.3,0.4849494113382977,0.0593743013659206,0.4059505918230645,0.1660229726512587,0.3366777300834656,15.591187477111816
MAE-H/97,brightness/delta=-0.2,brightness,-0.2,0.8877499494296173,0.3149905436799385,0.0073635963550896,-0.0693460207009649,0.0115768816322088,2.998010635375977
MAE-H/97,brightness/delta=-0.1,brightness,-0.1,0.8948464789217248,0.2851079178647099,0.0002670668629821,-0.0394633948857363,0.003107271855697,1.5408756732940674
MAE-H/97,clean,brightness,0.0,0.8951135457847069,0.2456445229789736,0.0,0.0,0.0,0.0
MAE-H/97,brightness/delta=+0.1,brightness,0.1,0.8825350638572842,0.2043788791269184,0.0125784819274227,0.0412656438520551,0.0034924151841551,1.5869251489639282
MAE-H/97,brightness/delta=+0.2,brightness,0.2,0.8112155940206071,0.2083117412102772,0.0838979517640998,0.0373327817686963,0.0186706651002168,3.729381561279297
MAE-H/97,contrast/factor=0.25,contrast,0.25,0.7718017198564908,0.1280186077899778,0.1233118259282161,0.1176259151889957,0.1098535358905792,11.457601547241213
