group,n,bbox_area_frac_mean,target_logit_drop_mean,control_logit_drop_mean,delta_logit_drop_mean,delta_logit_ci95_low,delta_logit_ci95_high,delta_logit_pvalue,target_prob_drop_mean,control_prob_drop_mean,delta_prob_drop_mean,delta_prob_ci95_low,delta_prob_ci95_high,delta_prob_pvalue,lesion_cosine_drift_mean,control_cosine_drift_mean,delta_cosine_drift_mean,delta_cosine_ci95_low,delta_cosine_ci95_high,delta_cosine_pvalue,model
Calcification,91,0.0125192290171563,-0.1057520083018711,-0.1551266366308862,0.049374628329015,0.0261577211140276,0.0757608386153702,4.999750012499375e-05,-0.007247918858551,-0.0114724642034251,0.004224545344874,0.0019666877153564,0.0070752472742614,4.999750012499375e-05,0.0006218257841173,0.0007637994556437,-0.0001419736715263,-0.0002772451315145,-3.248676957110338e-05,0.0145992700364981,MAE-H/97
Cardiomegaly,444,0.0738592945624195,-0.704403339507612,-0.5665054717461939,-0.1378978677614181,-0.1881263041763507,-0.0830196251968963,4.999750012499375e-05,-0.1365968079331356,-0.1052967408504169,-0.0313000670827186,-0.0414670785576491,-0.0203456962871289,4.999750012499375e-05,0.0075139137538703,0.0058520808273209,0.0016618329249762,0.0014581449353581,0.0018697601922319,4.999750012499375e-05,MAE-H/97
Consolidation,63,0.0495595187479753,-0.1504109310252326,-0.4140567980115376,0.263645866986305,0.192293412441772,0.3411859698416221,4.999750012499375e-05,-0.0085947330124557,-0.0463180282611459,0.0377232952486901,0.0239729581053354,0.0531851901328338,4.999750012499375e-05,0.0034956080572945,0.0034471566695073,4.845138778725255e-05,-0.0002475575052004,0.000379928572326,0.7707114644267786,MAE-H/97
ILD,54,0.0818647988709372,-0.4173810945616828,-0.5654551893472672,0.1480740947855843,0.0680730414804485,0.2303131767941845,0.0007499625018749,-0.0441601554156039,-0.0551237834341548,0.0109636280185508,-0.0013112029453515,0.0244249670295889,0.0933453327333633,0.008083070869799,0.0067509055448614,0.0013321653163142,0.000376230432556,0.0023520436431513,0.0090495475226238,MAE-H/97
Infiltration,105,0.0542617605077745,-0.1688072173368363,-0.3429198898800782,0.1741126725432418,0.1263716172056184,0.2250083556441323,4.999750012499375e-05,-0.0172072966538724,-0.0376466721793015,0.0204393755254291,0.0133930987156927,0.0281794568336613,4.999750012499375e-05,0.0042345455714634,0.0042030716948266,3.147387663678577e-05,-0.0002426183898482,0.0003039634418625,0.8303084845757712,MAE-H/97
Lung Opacity,220,0.0396473504174397,-0.269236591018059,-0.4529588437080383,0.1837222526899792,0.1368569546716118,0.2327916497119108,4.999750012499375e-05,-0.0469792567870833,-0.0816580138236961,0.0346787570366127,0.0260205496876839,0.0436746774717996,4.999750012499375e-05,0.0027973250909285,0.0028810408062616,-8.371571533313148e-05,-0.0002679567901209,0.0001318268195005,0.4210289485525724,MAE-H/97
Nodule/Mass,157,0.0154093260512803,-0.0772189195178876,-0.1380779541411977,0.06085903462331,0.0407617185715657,0.0823427701309607,4.999750012499375e-05,-0.0080500147691008,-0.0163922120644977,0.0083421972953969,0.0054363420552864,0.0114380405175908,4.999750012499375e-05,0.0010683107527957,0.001111568449186,-4.3257696303438135e-05,-0.0001924078529042,0.0001370210752069,0.6348682565871706,MAE-H/97
Other lesion,208,0.0404651587948881,-0.3321245814888523,-0.388839211429541,0.0567146299406886,0.0184553864150523,0.0970094588237742,0.0038498075096245,-0.0538663486323247,-0.0661612167041032,0.0122948680717784,0.004126784842721,0.0210343390387984,0.0036998150092495,0.0034525397305305,0.0035207786806425,-6.823895012513066e-05,-0.0004580385591351,0.0002457442380792,0.7572121393930303,MAE-H/97
Pleural effusion,195,0.0428465136054421,-0.0714997206360865,-0.2630161208754931,0.1915164002394064,0.1287660038767334,0.259202055112005,4.999750012499375e-05,-0.0080639875374543,-0.0480117235791224,0.0399477360416681,0.026727047789412,0.0540831244996247,4.999750012499375e-05,0.0043556029979999,0.0040560430086117,0.0002995599894627,-0.0001270866911652,0.0007605738509142,0.1871406429678516,MAE-H/97
Pleural thickening,379,0.0163049811365839,-0.1501267737559089,-0.1677454300018366,0.0176186562459276,0.0005463150227909,0.0363251674879774,0.0599970001499925,-0.029402437052225,-0.0337228230345689,0.0043203859823438,0.0007301503307822,0.0081834736284812,0.0269986500674966,0.0010186609932489,0.0011424113718525,-0.0001237503785652,-0.0002353386208421,-3.148670298263485e-05,0.0064996750162491,MAE-H/97
Pneumothorax,19,0.0648580155746509,-0.3024576463197407,-0.4211689873745566,0.1187113410548159,0.0254244098537846,0.2347884984392868,0.0263486825658717,-0.0033533262382996,-0.0062752530836549,0.0029219268453552,0.0005302400192809,0.0059619080081067,0.0221988900554972,0.0067426844647056,0.0068783991446252,-0.0001357146799196,-0.0009471112203563,0.0006416154874099,0.6815659217039148,MAE-H/97
Pulmonary fibrosis,304,0.0313618431542024,-0.0774997223879357,-0.2394272843351293,0.1619275619471935,0.1312451168553487,0.1935057758502539,4.999750012499375e-05,-0.0134691025596112,-0.0462752041039302,0.032806101544319,0.0261783921558679,0.0396943484839223,4.999750012499375e-05,0.0022853212921242,0.0022662830928323,1.90381992440866e-05,-0.0001184835595999,0.0001852624197395,0.8070596470176491,MAE-H/97
Aortic enlargement,607,0.0214525923116363,-0.4674240040180121,-0.5400743082374383,0.0726503042194262,0.0509308492066108,0.0946886089458889,4.999750012499375e-05,-0.0908037842584304,-0.0979414139857402,0.0071376297273097,0.0033374753860139,0.0109885714608482,0.0003999800009999,0.0028752473472959,0.0017504797736767,0.0011247675740986,0.0009588605371241,0.0012810651695697,4.999750012499375e-05,MAE-H/300
Atelectasis,27,0.0544882015306122,-0.2123652365472581,-0.2810659176773495,0.0687006811300913,-0.0034425454062444,0.138045088223837,0.0730463476826158,-0.0081311202418335,-0.0156138700157127,0.0074827497738792,0.0017942038774749,0.0140968586569134,0.023248837558122,0.0061468945609198,0.007237578421525,-0.0010906838606051,-0.0050155474445529,0.0012903295609349,0.92010399480026,MAE-H/300
Calcification,91,0.0125192290171563,-0.1317957351495931,-0.147498311315264,0.0157025761656708,-0.0062296392170937,0.0387127618475274,0.1813909304534773,-0.0080410824515498,-0.0091889455341375,0.0011478630825877,-0.0006067098540018,0.0029866716459618,0.2375881205939703,0.0012760339202461,0.0013461812528416,-7.014733419454896e-05,-0.000325399763712,0.0001737932832494,0.5945702714864257,MAE-H/300
Cardiomegaly,444,0.0738592945624195,-0.8333320435438607,-0.8477042907429441,0.0143722471990832,-0.0454454018347602,0.0797664893699623,0.6497175141242938,-0.1641921309737471,-0.1582211321152679,-0.0059709988584792,-0.0172107138348793,0.0064949647910674,0.3179341032948352,0.0109131001942866,0.0082975971430691,0.0026155030506931,0.0022790876082679,0.002934526992796,4.999750012499375e-05,MAE-H/300
Consolidation,63,0.0495595187479753,-0.2987893831635278,-0.4466658913899982,0.1478765082264703,0.0783707066897361,0.223423782359986,4.999750012499375e-05,-0.0240706987383346,-0.0440611459906139,0.0199904472522792,0.0074943642430598,0.0343700707254428,0.0015999200039998,0.0048645564488002,0.0054498564346604,-0.0005852999858602,-0.0022293412452517,0.0005653081890953,0.5535223238838058,MAE-H/300
ILD,54,0.0818647988709372,-0.6283708932223143,-0.5357960900774709,-0.0925748031448434,-0.1763898589351662,-0.0154743669485605,0.0289485525723713,-0.063681234743584,-0.049277075305926,-0.014404159437658,-0.029117961456887,-0.001893339725513,0.0453977301134943,0.0119293332099914,0.0089519887195719,0.0029773445076662,0.0013345180720298,0.0048270379623217,0.0005499725013749,MAE-H/300
Infiltration,105,0.0542617605077745,-0.3562377844538007,-0.3879599138952437,0.0317221294414429,-0.023172118445947,0.0858930609020448,0.263236838158092,-0.0422877476683684,-0.0429116233473732,0.0006238756790047,-0.0084225004767732,0.0093877286649353,0.8907554622268886,0.0065243476913088,0.0058961760574242,0.0006281716294497,-0.0002053660036472,0.0015397698424931,0.1728913554322284,MAE-H/300
Lung Opacity,220,0.0396473504174397,-0.3900167688050053,-0.4901239255748012,0.1001071567697958,0.046932834348726,0.1550162582888521,0.0004999750012499,-0.0698222063566473,-0.0883174554250118,0.0184952490683645,0.0078274614391213,0.0291988606753505,0.0010999450027498,0.0042798042297363,0.0043046109907167,-2.48067610465858e-05,-0.0006068091373559,0.0004995664223662,0.9406029698515074,MAE-H/300
Nodule/Mass,157,0.0154093260512803,-0.1440607409947996,-0.193046433872478,0.0489856928776783,0.0288908844085256,0.0694603627331697,4.999750012499375e-05,-0.0149590358980427,-0.0212705481916096,0.0063115122935669,0.0034228393125828,0.0093574556367246,9.99950002499875e-05,0.0017864005580829,0.0017989618040353,-1.2561245280469784e-05,-0.0002979036198937,0.0003319526500633,0.9404529773511324,MAE-H/300
Other lesion,208,0.0404651587948881,-0.4212281359001421,-0.4609031050537641,0.039674969153622,-0.0031409173421203,0.0811950826447886,0.0705464726763661,-0.0685693648679611,-0.0769286414590449,0.0083592765910837,-0.0004566788111025,0.0168447078804288,0.063896805159742,0.0044083506442033,0.0047181454393825,-0.0003097947956776,-0.0008391174371564,0.0001666551034623,0.2364381780910954,MAE-H/300
Pleural effusion,195,0.0428465136054421,-0.1608714202275643,-0.2981939009653452,0.1373224807377809,0.0758464434795941,0.2028920837273009,4.999750012499375e-05,-0.0268555466276712,-0.055208542534174,0.0283529959065027,0.0157928307836349,0.0418384595530537,4.999750012499375e-05,0.0048349933746533,0.0050600736776034,-0.0002250803075394,-0.0007112502628357,0.0003065195043097,0.407429628518574,MAE-H/300
Pleural thickening,379,0.0163049811365839,-0.3227582533787297,-0.244537522250634,-0.0782207311280956,-0.1039026426245264,-0.0535548666627257,4.999750012499375e-05,-0.0635973463685185,-0.048802543289979,-0.0147948030785394,-0.0198575924703541,-0.0097639951288778,4.999750012499375e-05,0.0017758813885711,0.0019883040689517,-0.000212422681686,-0.0004474204737422,1.82287475332117e-05,0.0630468476576171,MAE-H/300
Pneumothorax,19,0.0648580155746509,-0.4355484686399761,-0.4746081076170269,0.0390596389770507,-0.0275343344713512,0.1230229575383035,0.3606319684015799,-0.0052807606805704,-0.0064920993056148,0.0012113386250444,-0.000429294381021,0.0033998553443847,0.3109344532773361,0.0082049432553743,0.0084041764402124,-0.0001992331848381,-0.0022164551248639,0.0016011592168069,0.8563071846407679,MAE-H/300
Pulmonary fibrosis,304,0.0313618431542024,-0.2275506461431321,-0.2748632264348041,0.0473125802916719,0.0192439932738259,0.0760947531632662,0.0008999550022498,-0.0427681013794713,-0.0518892916434101,0.0091211902639387,0.0032477492911398,0.0150709918605188,0.0020998950052497,0.0036612996145298,0.0035055370736149,0.000155762539766,-0.0001312108927726,0.0004862966234004,0.3312834358282086,MAE-H/300
