condition,perturbation,level,macro_auroc,macro_auroc_ci95_low,macro_auroc_ci95_high,f1,optimal_f1,auroc_drop,cosine_drift,l2_drift,auroc_Aortic enlargement,auroc_Atelectasis,auroc_Calcification,auroc_Cardiomegaly,auroc_Consolidation,auroc_ILD,auroc_Infiltration,auroc_Lung Opacity,auroc_Nodule/Mass,auroc_Other lesion,auroc_Pleural effusion,auroc_Pleural thickening,auroc_Pneumothorax,auroc_Pulmonary fibrosis,auroc_No finding,repeat,repeat_count,macro_auroc_std,macro_auroc_ci95_low_std,macro_auroc_ci95_high_std,f1_std,optimal_f1_std,auroc_drop_std,cosine_drift_std,l2_drift_std,auroc_Aortic enlargement_std,auroc_Atelectasis_std,auroc_Calcification_std,auroc_Cardiomegaly_std,auroc_Consolidation_std,auroc_ILD_std,auroc_Infiltration_std,auroc_Lung Opacity_std,auroc_Nodule/Mass_std,auroc_Other lesion_std,auroc_Pleural effusion_std,auroc_Pleural thickening_std,auroc_Pneumothorax_std,auroc_Pulmonary fibrosis_std,auroc_No finding_std,model
gaussian_noise/sigma=0.10,gaussian_noise,sigma=0.10,0.6340062302393532,0.616601404986463,0.6514284263299743,0.0939967869663402,0.511009026231776,0.2764670702908733,0.9752763390541076,102.3024658203125,0.7815430546998768,0.5371647279369351,0.518774295795706,0.7929871606787626,0.6006394967894118,0.5227349745838732,0.543417651859913,0.6768945220530529,0.6231485148081622,0.6424793982995421,0.6458352155451001,0.6595136639226746,0.5925789120214909,0.6192668933577317,0.7531149712380658,mean,5.0,0.0024539238408822,0.0027636343195075,0.0021021087838982,0.0004191788115348,0.0013943378681261,0.0024539238408822,2.974487967651199e-05,0.0093063875501193,0.003889982353787,0.0356485733341767,0.0120425902856009,0.0056903197208471,0.0114032294726518,0.0118670701191329,0.0098099562855613,0.0060226625506032,0.006067520838126,0.0132233958557982,0.0079975051197415,0.0034647405567415,0.0107521673583416,0.0071113289203656,0.003143680575797,I-JEPA-H/95
low_pass/cutoff=0.35,low_pass,cutoff=0.35,0.9048950460602372,0.8954456804128126,0.9144381279845442,0.3170813009916953,0.7154262121213756,0.0113312263724371,0.0570189505815506,12.592591285705566,0.9563044578419292,0.8946716977504326,0.8415129178876861,0.9577491161585796,0.9266937491809724,0.9035703916206952,0.8918338197467354,0.8908271856851357,0.8406949345736733,0.8814404839764551,0.9374526551347896,0.9037913382173796,0.9010470724708468,0.892374408119376,0.9534614625388712,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
low_pass/cutoff=0.25,low_pass,cutoff=0.25,0.833155321554927,0.820407885776582,0.8458374172444597,0.2769839969372398,0.6397007855869391,0.0830709508777474,0.2607082426548004,28.17817687988281,0.9000567956785777,0.8119472216881369,0.7428308713593684,0.901346462401094,0.8736417245446206,0.8102869227202406,0.8245047239810052,0.8272312038926386,0.7604724784993404,0.8031376716808372,0.8757027889166105,0.8172792676125474,0.8440686244581477,0.8116522665962386,0.8931707992944995,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
low_pass/cutoff=0.15,low_pass,cutoff=0.15,0.7498604653083445,0.7350727479383632,0.7677920704881261,0.1209517697948751,0.5998685073670731,0.1663658071243299,0.5421900749206543,43.20402145385742,0.8554054908906883,0.7160642184195346,0.6496733149931224,0.8523718558780177,0.6971248853361289,0.6524079234179382,0.6981722398100514,0.7532961858420971,0.7015001783061572,0.7192331589274036,0.7786293096858039,0.7901719127097278,0.7750167897918065,0.7486311286762626,0.860208386940429,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
high_suppression/cutoff=0.35_keep=0.50,high_suppression,cutoff=0.35_keep=0.50,0.9104575026852794,0.9005781803193956,0.9204697032654846,0.3242972162383559,0.7242464582267518,0.005768769747395,0.022416753694415,8.029035568237305,0.9601818286833304,0.9089718323399346,0.859185305902757,0.9616082993482422,0.9311387760450792,0.9123717818156606,0.8906064503363673,0.8968340919792812,0.8427908523471873,0.884596141268803,0.9432573962235304,0.9101785773078416,0.8986201843824408,0.8969915486049538,0.9595294736937836,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
high_suppression/cutoff=0.25_keep=0.25,high_suppression,cutoff=0.25_keep=0.25,0.8701748327500844,0.8582533582104162,0.8818332113984392,0.2812038021724923,0.6744029583992569,0.0460514396825899,0.1932013481855392,24.30465316772461,0.928813561652878,0.8634998077292828,0.795588257281263,0.937547026547882,0.8965797405320404,0.8360453980126452,0.8607384002770083,0.8612855124784177,0.7985490473200476,0.8401553302812295,0.9115441549506224,0.8692970545070342,0.8629189816228097,0.859777349129393,0.9302828689287124,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
high_suppression/cutoff=0.15_keep=0.00,high_suppression,cutoff=0.15_keep=0.00,0.7498604653083445,0.7350727479383632,0.7677920704881261,0.1209517697948751,0.5998685073670731,0.1663658071243299,0.5421900749206543,43.20402145385742,0.8554054908906883,0.7160642184195346,0.6496733149931224,0.8523718558780177,0.6971248853361289,0.6524079234179382,0.6981722398100514,0.7532961858420971,0.7015001783061572,0.7192331589274036,0.7786293096858039,0.7901719127097278,0.7750167897918065,0.7486311286762626,0.860208386940429,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
band_corrupt/band=0.00-0.20,band_corrupt,band=0.00-0.20,0.8551648550766596,0.8405912016808581,0.8682507445962285,0.3376197021334567,0.6689901609906995,0.0610614173560147,0.1402401328086853,19.342987060546875,0.9327273752420348,0.8831835223995386,0.812148645415944,0.9334954425047844,0.8652234307430219,0.8544455470859208,0.7756851009101702,0.8252990111442473,0.819315698161587,0.7910954872465663,0.8897429304126041,0.8721444741203079,0.8237071860308932,0.8345540379935483,0.9147049367387236,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
band_corrupt/band=0.20-0.45,band_corrupt,band=0.20-0.45,0.6140245170189795,0.5951536588294503,0.6304655888106707,0.15820165504783,0.5219349382203504,0.3022017554136949,0.8768559694290161,58.32098388671875,0.5842955135539518,0.6322822534128052,0.5708764427964834,0.60056036748563,0.6294378194207837,0.5452203381016559,0.6229007963988918,0.6260257416418146,0.6517265067964182,0.6596435578809678,0.5950476402276724,0.6163246736791275,0.6161548324073509,0.6566278839442359,0.6032433875369053,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
band_corrupt/band=0.45-1.00,band_corrupt,band=0.45-1.00,0.65148839529597,0.632282173333049,0.6712439121517136,0.070104666022293,0.4696242205184811,0.2647378771367044,0.9298416376113892,80.8891372680664,0.6018457907938743,0.641475197077485,0.6645722444829856,0.6565558872943287,0.6852208098545407,0.6034260852231116,0.6979774683419073,0.6748501020247999,0.6812170325042279,0.6857488554610855,0.5660369654808154,0.6257783262879485,0.6902588680627633,0.6871462864796545,0.6102160100700205,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,I-JEPA-H/201
gaussian_noise/sigma=0.05,gaussian_noise,sigma=0.05,0.6431018887766158,0.6279111070011383,0.6609696766940107,0.0831877938651408,0.4964183178435262,0.2731243836560586,0.8729810237884521,71.2503646850586,0.5518584426157367,0.6774057873485868,0.5717664164822678,0.7103114832387936,0.6825695190669638,0.5772511581346772,0.6699795335377918,0.7296997331659081,0.6627913336644211,0.723419555264879,0.5334379843075661,0.5497738725804666,0.6359988399780205,0.734466081231489,0.6357985910316689,mean,5.0,0.0009391963547769,0.0009600941458541,0.0009011548081147,0.0008402342325283,0.0009809873339871,0.0009391963547769,0.0004158913040622,0.0365815336016122,0.0048349706531282,0.0131809150523959,0.0059803987818628,0.001958421621746,0.0057114126126417,0.0091755242684107,0.0034164238834497,0.0025924862664012,0.0042427961934175,0.0025459273501059,0.0083538730411076,0.0061950322238579,0.0083119217013702,0.0041105337032768,0.002401984649744,I-JEPA-H/201
gaussian_noise/sigma=0.10,gaussian_noise,sigma=0.10,0.5959632694592687,0.5746064487293099,0.6174904132508269,0.0699074489736425,0.4606242902152814,0.3202630029734058,0.963190746307373,83.79412231445312,0.5704778675629292,0.590976494904826,0.5969966658692661,0.5668319825190081,0.6117667409251737,0.5365034516530233,0.632862274930748,0.5857235912729555,0.6087122794965422,0.6277504905166775,0.5794469424772919,0.5885726087012914,0.645471335246352,0.6167910166198193,0.5805652991931252,mean,5.0,0.0031817967577155,0.0036212797932571,0.0030850268344837,1.5997563173856538e-06,0.0011363386728921,0.0031817967577155,1.867192915424929e-05,0.007877818871822,0.0048005284408444,0.0061528765276992,0.0025988104073542,0.0022849789257897,0.0127185911725097,0.0031040413172439,0.0078423730903361,0.0070739041878103,0.0044547485288173,0.0033573754317394,0.0053856067681095,0.0061323672332594,0.0211610269392944,0.0029406680014181,0.002513835058808,I-JEPA-H/201
low_pass/cutoff=0.35,low_pass,cutoff=0.35,0.8719347648666038,0.8582724064527103,0.8839674281817431,0.2002085698216718,0.6761038284779181,0.0231819957438198,0.0441017895936965,5.673672676086426,0.9272527118905124,0.8260070178811767,0.812021559715328,0.9232595453155544,0.8887275586423797,0.8764771904887785,0.8572819796201029,0.8668231046931408,0.8304078725997037,0.8686837802485283,0.8996705839837099,0.8859006835203844,0.8145949081140484,0.8790724216642456,0.9228405546214622,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,MAE-H/97
low_pass/cutoff=0.25,low_pass,cutoff=0.25,0.7362819719357108,0.7190107070672754,0.7531234149783798,0.1946951685671145,0.5829078663360191,0.1588347886747129,0.1512544602155685,10.72469997406006,0.7648266975444464,0.7318544510671025,0.6627631421565695,0.8033989672197046,0.7816013628620102,0.7088174242391412,0.7430067768104471,0.7292104850102025,0.6770142579291544,0.71398790058862,0.7798646197468918,0.7135070851262731,0.7458636058367423,0.7439031579543096,0.7446096449440462,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,MAE-H/97
low_pass/cutoff=0.15,low_pass,cutoff=0.15,0.7200446837020885,0.6980196700377598,0.7421665549542017,0.1278283039209156,0.4809476647157415,0.1750720769083351,0.2937887907028198,16.219871520996094,0.7775080861644076,0.6603898288790617,0.6655515519406734,0.8285820057101825,0.7333350805923207,0.667622931283287,0.6957824248120301,0.6948524564432585,0.6492925730562988,0.716337475474166,0.7716882918320118,0.7422566448936508,0.6846571829782038,0.7355284008375937,0.7772853206341802,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,MAE-H/97
